"","Player","Offseason.Year","Years","AAV","Predicted_AAV","Predicted_Years","AAV_diff","Year_diff"
"143","Marco Estrada",2016,2,1.3e+07,7546200.26496667,1.86903007270302,5453799.73503333,0.130969927296982
"144","Marco Estrada",2019,1,4e+06,4762205.83036667,1.01794827937499,-762205.830366667,-0.0179482793749886
"145","Marcus Stroman",2021,1,18900000,16719907.2064333,2.20878963649174,2180092.79356667,-1.20878963649174
"146","Marcus Stroman",2022,3,23666667,20826614.4368667,3.06989944520555,2840052.56313334,-0.0698994452055457
"147","Marcus Stroman",2024,2,18500000,15691813.8078,1.88501709561796,2808186.1922,0.114982904382044
"148","Mark Melancon",2017,4,15500000,14810931.2304333,3.19041124399626,689068.769566663,0.80958875600374
"149","Mark Melancon",2021,1,3e+06,5434683.7622,1.60890069624164,-2434683.7622,-0.60890069624164
"150","Mark Melancon",2022,2,7e+06,6768305.2688,1.47049122546107,231694.731200001,0.529508774538932
"151","Martín Pérez",2023,1,19650000,12399665.5306,1.15527674566975,7250334.4694,-0.155276745669749
"152","Martín Pérez",2024,1,8e+06,6987244.1812,0.909862058830818,1012755.8188,0.0901379411691821
"153","Matt Albers",2018,2,2500000,9794231.8414,1.66711820191709,-7294231.8414,0.332881798082906
"154","Matt Moore",2019,1,2500000,4082249.99886667,1.05757611473412,-1582249.99886667,-0.0575761147341183
"155","Matt Moore",2023,1,7500000,6170223.6074,1.14316835247422,1329776.3926,-0.143168352474218
"156","Max Scherzer",2022,3,43333333,33729006.9603333,3.11754637472066,9604326.03966667,-0.117546374720656
"157","Michael Lorenzen",2022,1,7e+06,6322737.47826666,1.41138896795138,677262.521733336,-0.411388967951379
"158","Michael Lorenzen",2023,1,8500000,7216698.58996666,1.78628270831266,1283301.41003334,-0.786282708312663
"159","Michael Lorenzen",2024,1,4500000,5948333.32266667,1.43530596734334,-1448333.32266667,-0.435305967343341
"160","Michael Pineda",2018,2,5e+06,8707440.18673333,2.5611032011774,-3707440.18673333,-0.561103201177402
"161","Michael Pineda",2020,2,1e+07,11225674.1975667,2.22000921039733,-1225674.19756667,-0.220009210397332
"162","Michael Pineda",2022,1,5500000,6316599.71583333,1.4597177904083,-816599.715833332,-0.4597177904083
"163","Michael Wacha",2020,1,3e+06,4803596.9287,1.77068195281089,-1803596.9287,-0.770681952810894
"164","Michael Wacha",2022,1,7e+06,7326220.26,1.57285793733738,-326220.259999998,-0.572857937337377
"165","Michael Wacha",2023,4,6500000,7573685.53713333,2.3352932603124,-1073685.53713333,1.6647067396876
"166","Michael Wacha",2024,2,1.6e+07,14108965.2745667,1.95142364656509,1891034.72543333,0.0485763534349113
"167","Mike Clevinger",2023,1,1.2e+07,12520424.4374,2.10604537393032,-520424.4374,-1.10604537393032
"168","Mike Clevinger",2024,1,3e+06,6290466.664,1.23649454083537,-3290466.664,-0.236494540835368
"169","Mike Minor",2018,3,9333333,11197617.3818333,2.73140527984824,-1864284.38183333,0.26859472015176
"170","Mike Minor",2021,2,9e+06,10764310.2316667,2.30306674397128,-1764310.23166667,-0.303066743971275
"171","Mychal Givens",2022,1,5e+06,5539591.6642,1.60778560330176,-539591.664199997,-0.607785603301762
"172","Mychal Givens",2023,1,5e+06,5498700.23753333,1.68784857430984,-498700.237533331,-0.687848574309841
"173","Nathan Eovaldi",2019,4,1.7e+07,14065828.3204667,2.05301358835301,2934171.67953333,1.94698641164699
"174","Nathan Eovaldi",2023,2,1.7e+07,13848063.8769667,1.64636133677579,3151936.12303333,0.353638663224215
"175","Nick Martinez",2023,3,8666667,6996312.88236667,1.21925791996184,1670354.11763333,1.78074208003816
"176","Nick Martinez",2024,2,1.3e+07,10441468.8773,1.83380993540114,2558531.1227,0.166190064598856
"177","Noah Syndergaard",2022,1,2.1e+07,21271930.7092,3.38043435557594,-271930.70920001,-2.38043435557594
"178","Noah Syndergaard",2023,1,1.3e+07,12972964.1536,1.91377402029159,27035.8463999983,-0.913774020291588
"179","Pat Neshek",2018,2,8125000,16147514.4742667,1.45811293154861,-8022514.47426667,0.541887068451392
"180","Rich Hill",2017,3,1.6e+07,16887382.5965667,2.07156954948755,-887382.59656667,0.928430450512448
"181","Rich Hill",2020,1,3e+06,5404954.43943333,1.52578457491739,-2404954.43943333,-0.525784574917393
"182","Rich Hill",2022,1,5e+06,5574627.21766667,0.847490131495469,-574627.217666665,0.152509868504531
"183","Rich Hill",2023,1,8e+06,7862756.09833333,0.859273187560694,137243.901666667,0.140726812439306
"184","Robbie Ray",2021,1,8e+06,9994418.0493,2.38096690867909,-1994418.0493,-1.38096690867909
"185","Robbie Ray",2022,5,2.3e+07,21991823.0892,5.1547929869949,1008176.91080001,-0.154792986994904
"186","Ryan Vogelsong",2016,1,2e+06,2892249.4424,0.805445239572656,-892249.442399999,0.194554760427344
"187","Sean Doolittle",2021,1,1500000,3797793.7647,0.945977924260973,-2297793.7647,0.0540220757390271
"188","Sean Manaea",2023,2,12500000,11696631.6525667,1.85586074265327,803368.347433336,0.144139257346729
"189","Sean Manaea",2024,2,1.4e+07,11132083.8821667,1.52273315066711,2867916.11783333,0.477266849332891
"190","Sergio Romo",2019,1,2500000,3856569.99773333,1.33195962836748,-1356569.99773333,-0.331959628367475
"191","Sergio Romo",2020,1,5e+06,5944861.09546666,1.10544567272587,-944861.095466661,-0.10544567272587
"192","Sergio Romo",2022,1,2e+06,3427571.38886667,0.852464588238705,-1427571.38886667,0.147535411761295
"193","Seth Lugo",2023,2,7500000,7371270.26356667,1.63108149728821,128729.736433335,0.368918502711794
"194","Seth Lugo",2024,3,1.5e+07,14195845.7125,1.82250056254122,804154.2875,1.17749943745878
"195","Shelby Miller",2023,1,1500000,7598110.53756666,1.25866427899232,-6098110.53756666,-0.25866427899232
"196","Steve Cishek",2018,2,6500000,7621489.9836,1.65504349810603,-1121489.9836,0.344956501893974
"197","Steve Cishek",2020,1,6e+06,4518280.5528,1.20226480744294,1481719.4472,-0.202264807442943
"198","Steve Cishek",2022,1,1750000,3054724.71686667,0.944180807002301,-1304724.71686667,0.0558191929976992
"199","Taijuan Walker",2021,2,7666666,7993489.2178,2.19930190764612,-326823.217799995,-0.199301907646117
"200","Taijuan Walker",2023,4,1.8e+07,14398224.3571333,1.93573544919371,3601775.64286667,2.06426455080629
"201","Tommy Hunter",2016,1,2e+06,4841456.93643333,1.84874917080444,-2841456.93643333,-0.848749170804441
"202","Tommy Hunter",2020,1,875000,3092017.77493333,1.17556157290404,-2217017.77493333,-0.175561572904036
"203","Tony Barnette",2018,1,1500000,3490661.38573333,1.35247791355719,-1990661.38573333,-0.352477913557191
